Front	Gloss	Selmaho	Definition	Etymology	Example_1	Example_2	Related	Rafsi
lindi	lightning	gismu	x<sub>1</sub> is lightning/electrical arc/thunderbolt striking at/extending to x<sub>2</sub> from x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">bark</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">laitnin</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">relampag</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bijli</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">molin</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">leidian</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">sa'u tu pe pu ku cu lindi le darno pa dilnu</span> - <span class="example-eng">That was just a lightning that stroke far away from here striking from a cloud.</span>		<span class="lojban-word">letri</span>	<span class="rafsi">lid</span>/<span class="rafsi">lind</span>
slanu	cylinder	gismu	x<sub>1</sub> is a cylinder [shape/form] of material x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">ustuuan</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">silndr</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">silindr</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">belan</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">silindr</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">iuanju</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">mi zgana le nu le karce pe mi zi'e pe le xa mei slanu cu zmadu le laldo karce pe mi le ka vlipa vau so'i da</span> - <span class="example-eng">I notice that my 6-cylinder car is much more powerful than my old car.</span>		<span class="lojban-word">kamju</span> (<span class="gloss">column</span>), <span class="lojban-word">gunro</span> (<span class="gloss">roll</span>)	<span class="rafsi">slan</span>
nuzba	news	gismu	x<sub>1</sub> <span class="word-kind">(du'u)</font> is news/tidings/new information about subject x<sub>2</sub> from source x<sub>3</sub>, to observer x<sub>4</sub>.	<span class="etymology-item"><span class="etymology-source-word">anba</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">nuz</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">novas</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">xabar</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">novast</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cinuen</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ma nuzba</span> - <span class="example-eng">What's up? What are the news?</span>	<span class="example-jbo">no da nuzba fi mi fo do</span> - <span class="example-eng">No news from me for you.</span>	<span class="lojban-word">cnino</span> (<span class="gloss">new</span>), <span class="lojban-word">notci</span> (<span class="gloss">message</span>)	<span class="rafsi">nuz</span>/<span class="rafsi">nuzb</span>
panzi	offspring	gismu	x<sub>1</sub> is a [biological] offspring/child/kid/hybrid of parent<span class="word-kind">(s)</font> x<sub>2</sub>; <span class="word-kind">(adjective:)</font> x<sub>1</sub> is filial.	<span class="etymology-item"><span class="etymology-source-word">sulala</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">prajeni</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">proxeni</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">apatia</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">patomak</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">zi</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u nixli cu panzi la alis</span> - <span class="example-eng">The girl is Alice's child.</span>		<span class="lojban-word">grute</span> (<span class="gloss">fruit</span>), <span class="lojban-word">verba</span> (<span class="gloss">child</span>), <span class="lojban-word">bersa</span> (<span class="gloss">son</span>), <span class="lojban-word">tixnu</span> (<span class="gloss">daughter</span>), <span class="lojban-word">se</span>, <span class="lojban-word">rorci</span> (<span class="gloss">procreate</span>), <span class="lojban-word">patfu</span> (<span class="gloss">father</span>)	<span class="rafsi">paz</span>/<span class="rafsi">panz</span>
greku	frame	gismu	x<sub>1</sub> is a frame/structure/skeleton/outline supporting/load-bearing/determining the form of x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">xaikal</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">freim</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">estruktur</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">danc</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">struktur</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">geu</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le greku be le mi'u bitmu cu mudri</span> - <span class="example-eng">The frame of the fence is wooden.</span>		<span class="lojban-word">korbi</span> (<span class="gloss">edge</span>), <span class="lojban-word">stura</span> (<span class="gloss">structure</span>), <span class="lojban-word">tsina</span> (<span class="gloss">stage</span>), <span class="lojban-word">bongu</span> (<span class="gloss">bone</span>)	<span class="rafsi">rek</span>/<span class="rafsi">grek</span>
xasne	sweat	gismu	x<sub>1</sub> is a/the sweat/perspiration from body x<sub>2</sub>, excreted by gland<span class="word-kind">(s)</font>/organs x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">arik</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">suet</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sud</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pasin</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pot</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">xan</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le xasne be ra cu se cigla ti</span> - <span class="example-eng">His sweat is secreted by these glands.</span>		<span class="lojban-word">pinca</span> (<span class="gloss">urine</span>), <span class="lojban-word">vikmi</span> (<span class="gloss">excrete</span>), <span class="lojban-word">cigla</span> (<span class="gloss">gland</span>)	<span class="rafsi">xasn</span>
fadni	ordinary	gismu	x<sub>1</sub> [member] is ordinary/common/typical/usual in property x<sub>2</sub> <span class="word-kind">(ka)</font> among members of x<sub>3</sub> <span class="word-kind">(set)</font>.	<span class="etymology-item"><span class="etymology-source-word">itiiadi</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kamn</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ordinari</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">samani</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">abidien</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">fan</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">fi le'i pendo be mi cu fadni fa la kevin le ka cusku le simsa noi srana mi</span> - <span class="example-eng">It's common for my friends and Kevin in particular to say such things about me.</span>		<span class="lojban-word">cafne</span> (<span class="gloss">frequent</span>), <span class="lojban-word">rirci</span> (<span class="gloss">rare</span>), <span class="lojban-word">kampu</span> (<span class="gloss">common</span>), <span class="lojban-word">lakne</span> (<span class="gloss">likely</span>), <span class="lojban-word">tcaci</span> (<span class="gloss">custom</span>), <span class="lojban-word">cnano</span> (<span class="gloss">average</span>)	<span class="rafsi">fad</span>/<span class="rafsi">fadn</span>
daspo	destroy	gismu	x<sub>1</sub> <span class="word-kind">(event)</font> destroys/ruins/wrecks/despoils x<sub>2</sub>; x<sub>1</sub> is destructive.	<span class="etymology-item"><span class="etymology-source-word">damar</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">distroi</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">destru</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">dvast</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">razruc</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">po</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ra pu daspo le ka kanro</span> - <span class="example-eng">He ruined his health.</span>	<span class="example-jbo">le fagri pu daspo ci me le dinju</span> - <span class="example-eng">The fire destroyed three of the buildings.</span>	<span class="lojban-word">spofu</span> (<span class="gloss">broken</span>), <span class="lojban-word">xrani</span> (<span class="gloss">injure</span>), <span class="lojban-word">marxa</span> (<span class="gloss">mash</span>), <span class="lojban-word">zalvi</span> (<span class="gloss">grind</span>), <span class="lojban-word">xaksu</span> (<span class="gloss">consume</span>)	<span class="rafsi">spo</span>/<span class="rafsi">dasp</span>
cuxna	choose	gismu	x<sub>1</sub> chooses/selects x<sub>2</sub> [choice] from set/sequence of alternatives x<sub>3</sub> <span class="word-kind">(complete set)</font>.	<span class="etymology-item"><span class="etymology-source-word">ixtar</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cuz</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">escox</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cuna</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">vibir</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cuan</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">mi nu'o mo'u cuxna le ka zukte ma kau</span> - <span class="example-eng">I haven't yet decided what to do.</span>	<span class="example-jbo">nandu fa le ka cuxna</span> - <span class="example-eng">It's hard to choose.</span>	<span class="lojban-word">jdice</span> (<span class="gloss">decide</span>), <span class="lojban-word">pajni</span> (<span class="gloss">judge</span>), <span class="lojban-word">nelci</span> (<span class="gloss">fond</span>)	<span class="rafsi">cux</span>/<span class="rafsi">cu'a</span>/<span class="rafsi">cuxn</span>
gradu	degree	gismu	x<sub>1</sub> [magnitude] is a unit/degree of/on scale/reference standard x<sub>2</sub> <span class="word-kind">(si'o)</font> measuring property x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">daraj</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">dagri</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">grad</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">anc</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">gradus</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">du</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le centi be le mitre cu gradu le ka mitre vau le ka te sepli</span> - <span class="example-eng">Centimeter is a unit on metric scale, which measures distance.</span>		<span class="lojban-word">ckilu</span> (<span class="gloss">scale</span>), <span class="lojban-word">kantu</span> (<span class="gloss">quantum</span>), <span class="lojban-word">kelvo</span> (<span class="gloss">kelvin</span>), <span class="lojban-word">merli</span> (<span class="gloss">measure</span>), <span class="lojban-word">ranti</span> (<span class="gloss">soft</span>), <span class="lojban-word">selci</span> (<span class="gloss">cell</span>)	<span class="rafsi">rau</span>/<span class="rafsi">grad</span>
banxa	bank	gismu	x<sub>1</sub> is a bank owned by/in banking system x<sub>2</sub> for banking function<span class="word-kind">(s)</font> x<sub>3</sub> <span class="word-kind">(event)</font>.	<span class="etymology-item"><span class="etymology-source-word">bank</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bank</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bank</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bank</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bank</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">iinxan</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ti banxa le gugde le ka canja fo le kagni i je to'u ti banxa fi tu'a le kagni</span> - <span class="example-eng">This bank owned by state works with companies, in short, this is a commercial bank.</span>		<span class="lojban-word">sorcu</span> (<span class="gloss">hold</span>), <span class="lojban-word">zarci</span> (<span class="gloss">market</span>), <span class="lojban-word">canja</span> (<span class="gloss">exchange</span>), <span class="lojban-word">kagni</span> (<span class="gloss">company</span>)	<span class="rafsi">bax</span>/<span class="rafsi">banx</span>
bukpu	cloth	gismu	x<sub>1</sub> is an amount of cloth/fabric of type/material x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">kumac</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">klat</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pan</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kapna</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sukno</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bu</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le bukpu cu cpana le jubme</span> - <span class="example-eng">The cloth is on the table.</span>		<span class="lojban-word">mapni</span> (<span class="gloss">cotton</span>), <span class="lojban-word">matli</span> (<span class="gloss">linen</span>), <span class="lojban-word">sunla</span> (<span class="gloss">wool</span>), <span class="lojban-word">slasi</span> (<span class="gloss">plastic</span>), <span class="lojban-word">silka</span> (<span class="gloss">silk</span>)	<span class="rafsi">buk</span>/<span class="rafsi">bu'u</span>/<span class="rafsi">bukp</span>
fanmo	end	gismu	x<sub>1</sub> is an end/finish/termination of thing/process x<sub>2</sub>; [not necessarily implying completeness].	<span class="etymology-item"><span class="etymology-source-word">xitam</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">fainl</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">fin</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ant</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kaniets</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mo</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">do te mukti le ka mo ca le fanmo le ca jeftu</span> - <span class="example-eng">What are you going to do on weekend?</span>	<span class="example-jbo">le fanmo be le mi'u te jivna ba cinri ba'a</span> - <span class="example-eng">I expect the final part of the competition interesting.</span>	<span class="lojban-word">cfari</span> (<span class="gloss">happen</span>), <span class="lojban-word">sisti</span> (<span class="gloss">cease</span>), <span class="lojban-word">krasi</span> (<span class="gloss">origin</span>), <span class="lojban-word">mulno</span> (<span class="gloss">complete</span>), <span class="lojban-word">denpa</span> (<span class="gloss">wait</span>), <span class="lojban-word">jipno</span> (<span class="gloss">tip</span>), <span class="lojban-word">traji</span> (<span class="gloss">best</span>)	<span class="rafsi">fam</span>/<span class="rafsi">fa'o</span>/<span class="rafsi">fanm</span>
rakso	Iraqi	gismu	x<sub>1</sub> reflects Iraqi culture/nationality in aspect x<sub>2</sub>.					<span class="rafsi">raks</span>
nenri	in	gismu	x<sub>1</sub> is in/inside/within x<sub>2</sub>; x<sub>1</sub> is on the inside/interior of x<sub>2</sub> [totally within the bounds of x<sub>2</sub>].	<span class="etymology-item"><span class="etymology-source-word">fi</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">inr</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">en</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">men</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">vnutri</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">nei</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">rau finpe cu nenri le vi rirxe</span> - <span class="example-eng">There are plenty of fish in this river.</span>	<span class="example-jbo">le mi'u ctuca pu klama le nenri</span> - <span class="example-eng">The teacher came in.</span>	<span class="lojban-word">se</span>, <span class="lojban-word">vasru</span> (<span class="gloss">contain</span>), <span class="lojban-word">jbini</span> (<span class="gloss">between</span>), <span class="lojban-word">zvati</span> (<span class="gloss">at</span>), <span class="lojban-word">cpana</span> (<span class="gloss">upon</span>), <span class="lojban-word">sruri</span> (<span class="gloss">surround</span>), <span class="lojban-word">senta</span> (<span class="gloss">layer</span>), <span class="lojban-word">snuji</span> (<span class="gloss">sandwich</span>), <span class="lojban-word">bartu</span> (<span class="gloss">out</span>), <span class="lojban-word">diklo</span> (<span class="gloss">local</span>), <span class="lojban-word">jibni</span> (<span class="gloss">near</span>), <span class="lojban-word">jinru</span> (<span class="gloss">immersed</span>), <span class="lojban-word">setca</span> (<span class="gloss">insert</span>)	<span class="rafsi">ner</span>/<span class="rafsi">ne'i</span>/<span class="rafsi">nenr</span>
fatci	actual	gismu	x<sub>1</sub> <span class="word-kind">(du'u)</font> is a fact/reality/truth/actuality, in the absolute.	<span class="etymology-item"><span class="etymology-source-word">xakik</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">fakt</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ec</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tat</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">fakt</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ci</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">mi se la'u li me'i ro birti le mi'u du'u ro se djuno be mi bei le mi'u munje cu fatci</span> - <span class="example-eng">I'm not completely sure that all that I know about the world are actual facts.</span>		<span class="lojban-word">datni</span> (<span class="gloss">data</span>), <span class="lojban-word">jitfa</span> (<span class="gloss">false</span>), <span class="lojban-word">xanri</span> (<span class="gloss">imaginary</span>), <span class="lojban-word">jetnu</span> (<span class="gloss">true</span>), <span class="lojban-word">fasnu</span> (<span class="gloss">event</span>), <span class="lojban-word">zasti</span> (<span class="gloss">exist</span>), <span class="lojban-word">cfika</span> (<span class="gloss">fiction</span>), <span class="lojban-word">saske</span> (<span class="gloss">lore</span>)	<span class="rafsi">fac</span>/<span class="rafsi">fatc</span>
pendo	friend	gismu	x<sub>1</sub> is/acts as a friend of/to x<sub>2</sub> <span class="word-kind">(experiencer)</font>; x<sub>2</sub> befriends x<sub>1</sub>.	<span class="etymology-item"><span class="etymology-source-word">rafik</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">frend</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">amig</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">dost</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">druk</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pen</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">xu la alis cu pendo do</span> - <span class="example-eng">Is Alice your friend?</span>		<span class="lojban-word">bradi</span> (<span class="gloss">enemy</span>), <span class="lojban-word">xendo</span> (<span class="gloss">kind</span>), <span class="lojban-word">nelci</span> (<span class="gloss">fond</span>), <span class="lojban-word">prami</span> (<span class="gloss">love</span>), <span class="lojban-word">bradi</span> (<span class="gloss">enemy</span>)	<span class="rafsi">ped</span>/<span class="rafsi">pe'o</span>/<span class="rafsi">pend</span>
cnisa	lead	gismu	x<sub>1</sub> is a quantity of/contains/is made of lead <span class="word-kind">(Pb)</font>; [metaphor: heavy, malleable, soft metal].	<span class="etymology-item"><span class="etymology-source-word">rasis</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">led</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">plom</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sisak</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">svinies</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cian</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ra pu troci le ka zbasu le solji le cnisa</span> - <span class="example-eng">He tried to make gold out of lead.</span>		<span class="lojban-word">jinme</span> (<span class="gloss">metal</span>), <span class="lojban-word">tinci</span> (<span class="gloss">tin</span>)	<span class="rafsi">nis</span>/<span class="rafsi">cnis</span>
brife	breeze	gismu	x<sub>1</sub> is a breeze/wind/gale from direction x<sub>2</sub> with speed x<sub>3</sub>; x<sub>1</sub> blows from x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">nasim</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">briz</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bris</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">samir</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">briz</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">fen</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">oi le brife be lo'e berti se la'u li du'e carmi</span> - <span class="example-eng">Oh, the northern wind is too strong.</span>		<span class="lojban-word">tcima</span> (<span class="gloss">weather</span>)	<span class="rafsi">bif</span>/<span class="rafsi">bi'e</span>/<span class="rafsi">brif</span>
zivle	invest	gismu	x<sub>1</sub> <span class="word-kind">(agent)</font> invests resources x<sub>2</sub> in investment x<sub>3</sub> expecting return/profit x<sub>4</sub> <span class="word-kind">(object(s)</font>/event).	<span class="etymology-item"><span class="etymology-source-word">istatmar</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">invest</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">invert</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">nivec</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">vlaj</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">teuzi</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ra pu zivle le jdini le ka sidju pa cnino sanga</span> - <span class="example-eng">He invested money in a new singer.</span>	<span class="example-jbo">ai mi zivle le nejni le ka prami do vau le nu do prami mi</span> - <span class="example-eng">I take a chance on loving you so that you will love me.</span>	<span class="lojban-word">prali</span> (<span class="gloss">gain</span>), <span class="lojban-word">canja</span> (<span class="gloss">exchange</span>), <span class="lojban-word">jbera</span> (<span class="gloss">borrow</span>), <span class="lojban-word">dejni</span> (<span class="gloss">owe</span>), <span class="lojban-word">ponse</span> (<span class="gloss">possess</span>)	<span class="rafsi">ziv</span>/<span class="rafsi">vle</span>/<span class="rafsi">zivl</span>
stapa	step	gismu	x<sub>1</sub> steps/treads on/in surface x<sub>2</sub> using limbs x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">xatn</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">step</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pas</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">par</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">stup</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tabu</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u xirma pu jundi stapa le bisli le sufti</span> - <span class="example-eng">The horse carefully stepped on the ice with her hoofs.</span>	<span class="example-jbo">mi pu stapa se ka'a le mi'u cripu</span> - <span class="example-eng">I stepped to the bridge.</span>	<span class="lojban-word">bajra</span> (<span class="gloss">run</span>), <span class="lojban-word">plipe</span> (<span class="gloss">jump</span>), <span class="lojban-word">cadzu</span> (<span class="gloss">walk</span>), <span class="lojban-word">skalera</span>	<span class="rafsi">tap</span>/<span class="rafsi">stap</span>
junta	weight	gismu	x<sub>1</sub> is the weight of object x<sub>2</sub> in [gravitational or other force] field x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">tikal</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ueit</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pesantes</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">taul</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">vies</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">jun</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le gunka pe le kensa cu se junta le ki'ogra be li pa no no le mi'u terdi</span> - <span class="example-eng">The space worker weights 100 kilograms in the gravity of the Earth.</span>		<span class="lojban-word">grake</span> (<span class="gloss">gram</span>), <span class="lojban-word">linto</span> (<span class="gloss">lightweight</span>), <span class="lojban-word">tilju</span> (<span class="gloss">heavy</span>), <span class="lojban-word">bunda</span> (<span class="gloss">pound</span>)	<span class="rafsi">junt</span>
vifne	fresh	gismu	<span class="word-kind">(adjective:)</font> x<sub>1</sub> is fresh/unspoiled.	<span class="etymology-item"><span class="etymology-source-word">tazaj</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">frec</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">fresk</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">navin</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sviej</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cian</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">xu le mi'u finpe cu vifne</span> - <span class="example-eng">Is the fish fresh?</span>		<span class="lojban-word">fusra</span> (<span class="gloss">rotten</span>)	<span class="rafsi">vif</span>/<span class="rafsi">vifn</span>
